email,first_name,last_name,custom_1_grad_date,major_number,major
Email1,LastName1,FirstName1,Date1,custom_2_major_1,BMTH
Email2,LastName2,FirstName2,Date2,custom_3_major_2,BMTH
Email3,LastName3,FirstName3,Date3,custom_2_major_1,MA
Email4,LastName4,FirstName4,Date4,custom_2_major_1,MA
Email5,LastName5,FirstName5,Date5,custom_2_major_1,MA
Email6,LastName6,FirstName6,Date6,custom_2_major_1,MA
Email7,LastName7,FirstName7,Date7,custom_2_major_1,MA
Email8,LastName8,FirstName8,Date8,custom_2_major_1,MA
Email9,LastName9,FirstName9,Date9,custom_2_major_1,MA
Email10,LastName10,FirstName10,Date10,custom_2_major_1,MA
Email11,LastName11,FirstName11,Date11,custom_2_major_1,MA
Email12,LastName12,FirstName12,Date12,custom_2_major_1,MA
Email13,LastName13,FirstName13,Date13,custom_2_major_1,MA
Email14,LastName14,FirstName14,Date14,custom_2_major_1,MA
Email15,LastName15,FirstName15,Date15,custom_3_major_2,MA
Email16,LastName16,FirstName16,Date16,custom_3_major_2,MA
Email17,LastName17,FirstName17,Date17,custom_3_major_2,MA
Email18,LastName18,FirstName18,Date18,custom_3_major_2,MA
Email19,LastName19,FirstName19,Date19,custom_3_major_2,MA
Email20,LastName20,FirstName20,Date20,custom_3_major_2,MA
Email21,LastName21,FirstName21,Date21,custom_3_major_2,MA
Email22,LastName22,FirstName22,Date22,custom_3_major_2,MA
Email23,LastName23,FirstName23,Date23,custom_4_major_3,MA
Email24,LastName24,FirstName24,Date24,custom_4_major_3,MA
