Email,First Name,Last Name,Custom 1 (Grad Date),Custom 2 (Major 1),Custom 3 (Major 2),Custom 4 (Major 3)
Email1,LastName1,FirstName1,Date1,BMTH,,
Email2,LastName2,FirstName2,Date2,,BMTH,
Email3,LastName3,FirstName3,Date3,MA,,
Email4,LastName4,FirstName4,Date4,MA,,
Email5,LastName5,FirstName5,Date5,MA,,
Email6,LastName6,FirstName6,Date6,MA,,
Email7,LastName7,FirstName7,Date7,MA,,
Email8,LastName8,FirstName8,Date8,MA,,
Email9,LastName9,FirstName9,Date9,MA,,
Email10,LastName10,FirstName10,Date10,MA,,
Email11,LastName11,FirstName11,Date11,MA,,
Email12,LastName12,FirstName12,Date12,MA,,
Email13,LastName13,FirstName13,Date13,MA,,
Email14,LastName14,FirstName14,Date14,MA,,
Email15,LastName15,FirstName15,Date15,,MA,
Email16,LastName16,FirstName16,Date16,,MA,
Email17,LastName17,FirstName17,Date17,,MA,
Email18,LastName18,FirstName18,Date18,,MA,
Email19,LastName19,FirstName19,Date19,,MA,
Email20,LastName20,FirstName20,Date20,,MA,
Email21,LastName21,FirstName21,Date21,,MA,
Email22,LastName22,FirstName22,Date22,,MA,
Email23,LastName23,FirstName23,Date23,,,MA
Email24,LastName24,FirstName24,Date24,,,MA
